Farmacia Boniscontro,Corso Vittorio Emanuele II,66,10121,Telefono: 011-541271,Codice: 13,Partita Iva: 05230100017,45.063938899999997, 7.6760356999999999
Farmacia Centrale Santomartino Antonio,Via Roma,24,10121,Telefono: 011-5628018,Codice: 19,Partita Iva: 08760920010,45.070311199999999, 7.6844245000000004
Farmacia Comunale 42 - Afc,Via Venti Settembre,5,10121,Telefono: 011-543287,Codice: 28,,45.064355499999998, 7.6784578000000003
Farmacia Gruner S.A.S. Del Dr. Timeus Marco & C.,Via S. Tommaso,16,10121,Telefono: 011-546292,Codice: 36,Partita Iva: 09942490013,45.070050999999999, 7.6811755000000002
Farmacia Mamone,Via Bellini,8,10121,Telefono: 011-544739,Codice: 31,,45.065479199999999, 7.6725846999999998
Farmacia Montanaro,Corso Vinzaglio,31,10121,Telefono: 011-544894,Codice: 12,Partita Iva: 04285840015,45.068315800000001, 7.6672732999999997
Farmacia Monumento,Largo Vittorio Emanuele II,84,10121,Telefono: 011-541739,Codice: 9,Partita Iva: 03746910011,45.066170999999997, 7.6709870999999996
Farmacia Solferino Dr. Anna Ricotti,Via S. Teresa,21,10121,Telefono: 011-546946 Fax: 011-5113705,Codice: 27,Partita Iva: 07443300012,45.069776599999997, 7.6790509
Farmacia Bargis,Via Nizza,15,10125,Telefono: 011-6699501,Codice: 37,Partita Iva: 00042350017,45.060343799999998, 7.6787770999999996
Farmacia Borgarelli dei Dott.Ri G. e P. Borgarelli Snc,Via Madama Cristina,62,10125,Telefono: 011-6699410 Fax: 011-6591321,Codice: 48,Partita Iva: 07852990014,45.052630299999997, 7.6793040000000001
Farmacia Cavallo,Via Berthollet Claudio Luigi,10,10125,Telefono: 011-6698702,Codice: 49,Partita Iva: 08017490015,45.059260199999997, 7.6805694999999998
Farmacia Comunale 25 - Afc,Atrio Stazione di Porta Nuova, Porta Nuova,10125,Telefono: 011-542825,Codice: 40,Partita Iva: 07019070015,45.062683, 7.67896
Farmacia Del Corso,Via Saluzzo,1,10125,Telefono: 011-6699414,Codice: 45,Partita Iva: 06720230017,45.061746100000001, 7.6805399000000003
Farmacia Europa,Corso Orbassano,302,10125,Telefono: 011-3110112,Codice: 148,Partita Iva: 07087050014,45.036442899999997, 7.6264237000000001
